"4294967296","281470681743359","-","-","-","-","-","-","-","-"
"281470698629376","281470698629631","TH","Thailand","Phrae","Long","18.07606","99.83256","54150","+07:00","66","054","141"
"281470698629632","281470698629887","TH","Thailand","Chiang Mai","Pai","19.36168","98.43973","58130","+07:00","66","053","510"
"281470698629888","281470698630143","TH","Thailand","Nan","Na Muen","18.19","100.65847","55180","+07:00","66","054","363"
"281470698630144","281470698630399","TH","Thailand","Lamphun","Ban Thi","18.63186","99.11661","50130","+07:00","66","053","309"
"281470698630400","281470698630655","TH","Thailand","Chiang Mai","Chiang Mai","18.79038","98.98468","50000","+07:00","66","053","314"
"281470698630656","281470698630911","TH","Thailand","Chiang Rai","Wiang Chiang Rung","20.01328","100.05639","57340","+07:00","66","053","387"
"281470698630912","281470698631167","TH","Thailand","Lamphun","Mae Tha","18.46456","99.14026","51140","+07:00","66","053","405"
"281470698631168","281470698631423","TH","Thailand","Pathum Thani","Khlong Luang","14.06467","100.64578","12120","+07:00","66","02","7"
"281470698631424","281470698631935","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698631936","281470698632191","TH","Thailand","Phra Nakhon Si Ayutthaya","Ban Bang Kadi Pathum Thani","13.99904","100.54962","12160","+07:00","66","035","4"
"281470698632192","281470698632447","TH","Thailand","Surin","Surin","14.88181","103.49364","31160","+07:00","66","044","149"
"281470698632448","281470698632703","TH","Thailand","Ubon Ratchathani","Ubon Ratchathani","15.22483","104.85289","33130","+07:00","66","045","116"
"281470698632704","281470698633215","TH","Thailand","Surin","Surin","14.88181","103.49364","31160","+07:00","66","044","149"
"281470698633216","281470698633727","TH","Thailand","Udon Thani","Sang Khom","17.82649","103.09262","43120","+07:00","66","042","172"
"281470698633728","281470698633983","TH","Thailand","Roi Et","Roi Et","16.0567","103.65309","45000","+07:00","66","043","149"
"281470698633984","281470698634239","TH","Thailand","Roi Et","Ban Selaphum","16.01667","103.95","45170","+07:00","66","043","133"
"281470698634240","281470698634495","TH","Thailand","Samut Prakan","Ban Bang Bo","13.58333","100.81667","10560","+07:00","66","02","4"
"281470698634496","281470698634751","TH","Thailand","Nakhon Nayok","Nakhon Nayok","14.20463","101.21295","26000","+07:00","66","037","11"
"281470698634752","281470698635263","TH","Thailand","Krung Thep Maha Nakhon","Bangkok","13.75","100.51667","10200","+07:00","66","02","10"
"281470698635264","281470698635519","TH","Thailand","Mukdahan","Mukdahan","16.54531","104.72351","49160","+07:00","66","042","144"
"281470698635520","281470698636031","TH","Thailand","Nakhon Phanom","Si Songkhram","17.62745","104.2507","48150","+07:00","66","042","161"
"281470698636032","281470698636543","TH","Thailand","Nong Khai","Sa Khrai","17.67544","102.7507","43110","+07:00","66","042","173"
"281470698636544","281470698636799","TH","Thailand","Udon Thani","Sang Khom","17.82649","103.09262","43120","+07:00","66","042","172"
"281470698636800","281470698637055","TH","Thailand","Kalasin","Kalasin","16.43281","103.50658","46000","+07:00","66","043","150"
